"weight";"lat";"lon"
"1001";"38.665";"-90.583"
"758";"38.665";"-90.603"
"670";"38.665";"-90.593"
"663";"38.665";"-90.663"
"635";"38.665";"-90.643"
"601";"38.655";"-90.613"
"599";"38.665";"-90.633"
"544";"38.655";"-90.673"
"527";"38.675";"-90.643"
"504";"38.665";"-90.652"
"503";"38.655";"-90.663"
"473";"38.675";"-90.633"
"472";"38.705";"-90.583"
"463";"38.655";"-90.683"
"453";"38.655";"-90.583"
"419";"38.655";"-90.693"
"413";"38.665";"-90.573"
"392";"38.655";"-90.623"
"382";"38.655";"-90.703"
"368";"38.855";"-90.483"
"359";"38.655";"-90.603"
"355";"38.655";"-90.652"
"347";"38.665";"-90.613"
"337";"38.655";"-90.713"
"314";"38.855";"-90.493"
"299";"38.665";"-90.563"
"299";"38.705";"-90.542"
"296";"38.665";"-90.623"
"292";"38.655";"-90.723"
"284";"38.655";"-90.593"
"281";"38.725";"-90.533"
"281";"38.705";"-90.563"
"276";"38.705";"-90.652"
"275";"38.705";"-90.573"
"275";"38.675";"-90.553"
"270";"38.705";"-90.553"
"266";"38.705";"-90.523"
"266";"38.705";"-90.533"
"258";"38.675";"-90.583"
"255";"38.675";"-90.542"
"251";"38.675";"-90.652"
"250";"38.725";"-90.542"
"250";"38.715";"-90.513"
"245";"38.845";"-90.583"
"242";"38.655";"-90.573"
"241";"38.695";"-90.503"
"232";"38.705";"-90.603"
"225";"38.705";"-90.643"
"221";"38.685";"-90.453"
"221";"38.645";"-90.583"
"217";"38.665";"-90.673"
"216";"38.705";"-90.593"
"214";"38.705";"-90.613"
"213";"38.635";"-90.583"
"212";"38.685";"-90.483"
"208";"38.735";"-90.553"
"208";"38.735";"-90.533"
"208";"38.655";"-90.563"
"205";"38.705";"-90.623"
"205";"38.705";"-90.513"
"200";"38.655";"-90.633"
"199";"38.705";"-90.703"
"199";"38.705";"-90.493"
"199";"38.705";"-90.633"
"197";"38.705";"-90.673"
"197";"38.685";"-90.473"
"194";"38.715";"-90.523"
"193";"38.705";"-90.693"
"186";"38.675";"-90.463"
"185";"38.855";"-90.473"
"184";"38.695";"-90.493"
"183";"38.705";"-90.663"
"180";"38.675";"-90.623"
"175";"38.625";"-90.583"
"174";"38.835";"-90.633"
"174";"38.655";"-90.553"
"172";"38.745";"-90.523"
"170";"38.785";"-90.583"
"169";"38.685";"-90.583"
"169";"38.655";"-90.733"
"168";"38.705";"-90.683"
"166";"38.755";"-90.583"
"166";"38.855";"-90.513"
"165";"38.855";"-90.503"
"164";"38.765";"-90.583"
"163";"38.855";"-90.523"
"162";"38.675";"-90.613"
"162";"38.675";"-90.593"
"162";"38.655";"-90.643"
"160";"38.755";"-90.593"
"159";"38.705";"-90.503"
"158";"38.745";"-90.583"
"158";"38.845";"-90.573"
"156";"38.655";"-90.542"
"155";"38.675";"-90.523"
"154";"38.815";"-90.583"
"154";"38.675";"-90.563"
"153";"38.695";"-90.473"
"153";"38.655";"-90.783"
"153";"38.655";"-90.743"
"152";"38.865";"-90.473"
"152";"38.645";"-90.733"
"150";"38.735";"-90.542"
"150";"38.775";"-90.443"
"148";"38.705";"-90.723"
"146";"38.835";"-90.663"
"146";"38.835";"-90.643"
"144";"38.655";"-90.773"
"143";"38.775";"-90.433"
"143";"38.775";"-90.583"
"142";"38.845";"-90.563"
"142";"38.765";"-90.613"
"141";"38.655";"-90.523"
"141";"38.665";"-90.693"
"141";"38.695";"-90.513"
"140";"38.835";"-90.652"
"140";"38.835";"-90.623"
"139";"38.655";"-90.753"
"139";"38.635";"-90.683"
"139";"38.865";"-90.583"
"139";"38.675";"-90.663"
"138";"38.675";"-90.533"
"138";"38.665";"-90.443"
"137";"38.655";"-90.533"
"136";"38.685";"-90.633"
"135";"38.675";"-90.513"
"135";"38.695";"-90.483"
"135";"38.705";"-90.713"
"135";"38.695";"-90.963"
"135";"38.685";"-90.493"
"133";"38.805";"-90.583"
"133";"38.735";"-90.563"
"132";"38.655";"-90.763"
"130";"38.775";"-90.463"
"129";"38.705";"-90.483"
"129";"38.695";"-90.583"
"128";"38.665";"-90.703"
"127";"38.685";"-90.643"
"127";"38.845";"-90.553"
"127";"38.805";"-90.542"
"126";"38.715";"-90.503"
"124";"38.825";"-90.703"
"124";"38.725";"-90.523"
"123";"38.675";"-90.453"
"120";"38.845";"-90.542"
"120";"38.685";"-90.463"
"120";"38.615";"-90.583"
